"","HAC_Score_RankScaled","HACK_16s","HACK_WGS","HAC_Exposure"
"Corynebacterium_jeikeium",0.44578313253012,0.467775467775468,NA,0.386150234741784
"Veillonella_montpellierensis",0.443775100401606,0.446985446985447,NA,0
"Haemophilus_quentini",0.441767068273092,NA,0.592105263157895,NA
"Leptotrichia_amnionii",0.439759036144578,0.201663201663202,0.543859649122807,0.386150234741784
"Mobiluncus_curtisii",0.437751004016064,0.334719334719335,NA,0.386150234741784
"Roseburia_faecis",0.43574297188755,0.324324324324324,NA,0.386150234741784
"Campylobacter_lanienae",0.433734939759036,0.313929313929314,NA,NA
"Coprococcus_comes",0.431726907630522,0.46985446985447,NA,0.386150234741784
"Selenomonas_ruminantium",0.429718875502008,0.474012474012474,NA,0
"Eubacterium_coprostanoligenes",0.427710843373494,0.374220374220374,NA,0.386150234741784
"Prevotella_amnii",0.42570281124498,0.37006237006237,NA,0
"Alkaliphilus_crotonatoxidans",0.423694779116466,0.563409563409563,NA,0
"Prevotella_sp_oral_taxon_473",0.421686746987952,NA,0.491228070175439,NA
"Conchiformibius_steedae",0.417670682730924,0.411642411642412,NA,0.386150234741784
"Actinomyces_funkei",0.417670682730924,0.399168399168399,NA,0.386150234741784
"Kingella_kingae",0.417670682730924,0.420997920997921,0.491228070175439,0.386150234741784
"Streptococcus_vestibularis",0.410642570281124,0.0332640332640333,0.491228070175439,0.386150234741784
"Mycoplasma_feliminutum",0.410642570281124,0.411642411642412,NA,0.386150234741784
"Mogibacterium_neglectum",0.410642570281124,0.420997920997921,NA,0.386150234741784
"Prevotella_albensis",0.410642570281124,0.230769230769231,NA,0.386150234741784
"Actinomyces_howellii",0.402610441767068,0.411642411642412,NA,0.386150234741784
"Propionigenium_maris",0.402610441767068,0.411642411642412,NA,NA
"Mycoplasma_hyosynoviae",0.402610441767068,0.378378378378378,NA,0.386150234741784
"Gemella_bergeri",0.402610441767068,0.411642411642412,NA,0.386150234741784
"Actinobacillus_minor",0.397590361445783,0.399168399168399,NA,0.386150234741784
"Eubacterium_eligens",0.395582329317269,0.432432432432432,NA,0.386150234741784
"Neisseria_cinerea",0.393574297188755,0.197505197505198,0.587719298245614,0.386150234741784
"Enterococcus_faecium",0.391566265060241,0.349272349272349,NA,0
"Vagococcus_lutrae",0.389558232931727,0.486486486486487,NA,0
"Aggregatibacter_actinomycetemcomitans",0.387550200803213,0.476091476091476,0.258771929824561,0.386150234741784
"Bacteroides_eggerthii",0.385542168674699,0.399168399168399,NA,0.386150234741784
"Butyrivibrio_proteoclasticus",0.383534136546185,0.434511434511435,NA,0.386150234741784
"Mannheimia_haemolytica",0.381526104417671,0.399168399168399,NA,0.386150234741784
"Phascolarctobacterium_succinatutens",0.379518072289157,0.357588357588358,NA,0.386150234741784
"Scardovia_inopinata",0.377510040160643,0.124740124740125,0.43859649122807,0
"Actinobaculum_schaalii",0.375502008032129,0.38045738045738,NA,0.386150234741784
"Desulfovibrio_fairfieldensis",0.373493975903614,0.461538461538462,NA,0
"Neisseria_pharyngis",0.3714859437751,0.363825363825364,NA,0.386150234741784
"Flavonifractor_plautii",0.369477911646586,0.318087318087318,NA,0.386150234741784
"Clostridium_hylemonae",0.367469879518072,0.436590436590437,NA,0.386150234741784
"Gemella_palaticanis",0.365461847389558,0.237006237006237,NA,0
"Streptococcus_mitis",0.363453815261044,0.613305613305613,0.583333333333333,0.715962441314554
"Neisseria_macacae",0.36144578313253,0.390852390852391,0.342105263157895,0.386150234741784
"Peptoniphilus_lacrimalis",0.359437751004016,0.507276507276507,0.12280701754386,0
"Ruminococcus_torques",0.357429718875502,0.322245322245322,NA,0.386150234741784
"Clostridium_ruminantium",0.355421686746988,0.347193347193347,NA,0.386150234741784
"Eubacterium_siraeum",0.353413654618474,0.376299376299376,NA,0.386150234741784
"Mycoplasma_salivarium",0.35140562248996,0.386694386694387,NA,0.386150234741784
"Parabacteroides_goldsteinii",0.349397590361446,0.449064449064449,NA,0.386150234741784
"Prevotella_dentalis",0.347389558232932,0.203742203742204,0.0219298245614035,0
"Bacteroides_acidifaciens",0.345381526104418,0.361746361746362,NA,0.386150234741784
"Ralstonia_solanacearum",0.343373493975904,0.336798336798337,NA,0.386150234741784
"Peptostreptococcus_russellii",0.34136546184739,0.299376299376299,NA,NA
"Streptococcus_sinensis",0.339357429718876,0.484407484407484,0.0789473684210526,0
"Neisseria_sp_oral_taxon_014",0.337349397590361,NA,0.241228070175439,NA
"Streptococcus_massiliensis",0.335341365461847,0.399168399168399,NA,0.386150234741784
