"","Node1","Node2","Weight"
"18509","Fusobacterium_nucleatum","Prevotella_oris",1
"18510","Prevotella_saccharolytica","Prevotella_oris",1
"18515","Prevotella_buccae","Prevotella_oris",1
"18519","Mogibacterium_timidum","Prevotella_oris",1
"18524","Streptococcus_anginosus","Prevotella_oris",1
"18542","Capnocytophaga_leadbetteri","Porphyromonas_catoniae",1
"18548","Prevotella_shahii","Porphyromonas_catoniae",1
"18586","Haemophilus_parainfluenzae","Porphyromonas_catoniae",1
"18599","Fusobacterium_periodonticum","Porphyromonas_catoniae",1
"18607","Gemella_haemolysans","Porphyromonas_catoniae",1
"18630","Prevotella_nanceiensis","Porphyromonas_catoniae",1
"18644","Prevotella_aurantiaca","Porphyromonas_catoniae",1
"18646","Capnocytophaga_ochracea","Porphyromonas_catoniae",1
"18667","Capnocytophaga_sputigena","Porphyromonas_catoniae",1
"18687","Gemella_morbillorum","Porphyromonas_catoniae",1
"18719","Streptococcus_mitis","Porphyromonas_catoniae",1
"18986","Fusobacterium_periodonticum","Lachnoanaerobaculum_umeaense",1
"19102","Neisseria_flavescens","Lachnoanaerobaculum_umeaense",1
"19203","Eubacterium_sulci","Eubacterium_infirmum",1
"19260","Solobacterium_moorei","Eubacterium_infirmum",1
"19281","Parvimonas_micra","Eubacterium_infirmum",1
"20303","Rothia_aeria","Corynebacterium_durum",1
"20313","Neisseria_sicca","Corynebacterium_durum",1
"20324","Actinomyces_oris","Corynebacterium_durum",1
"20342","Rothia_dentocariosa","Corynebacterium_durum",1
"20349","Streptococcus_pneumoniae","Corynebacterium_durum",1
"20380","Gemella_haemolysans","Corynebacterium_durum",1
"20385","Streptococcus_oralis","Corynebacterium_durum",1
"20387","Cardiobacterium_valvarum","Corynebacterium_durum",1
"20419","Capnocytophaga_ochracea","Corynebacterium_durum",1
"20460","Gemella_morbillorum","Corynebacterium_durum",1
"20469","Prevotella_nigrescens","Corynebacterium_durum",1
"20473","Scardovia_wiggsiae","Corynebacterium_durum",1
"20492","Streptococcus_mitis","Corynebacterium_durum",1
"20962","Lautropia_mirabilis","Cardiobacterium_hominis",1
"20977","Leptotrichia_hofstadii","Cardiobacterium_hominis",1
"20980","Streptococcus_sanguinis","Cardiobacterium_hominis",1
"20996","Cardiobacterium_valvarum","Cardiobacterium_hominis",1
"21049","Capnocytophaga_sputigena","Cardiobacterium_hominis",1
"21053","Treponema_medium","Cardiobacterium_hominis",1
"21068","Abiotrophia_defectiva","Cardiobacterium_hominis",1
"21079","Corynebacterium_matruchotii","Cardiobacterium_hominis",1
"21101","Streptococcus_mitis","Cardiobacterium_hominis",1
"21103","Prevotella_oris","Cardiobacterium_hominis",1
"21131","Treponema_denticola","Fretibacterium_fastidiosum",1
"21288","Fusobacterium_nucleatum","Fretibacterium_fastidiosum",1
"22274","Gemella_sanguinis","Streptococcus_infantis",1
"22346","Streptococcus_mitis","Streptococcus_infantis",1
"22372","Veillonella_dispar","Prevotella_histicola",1
"22381","Prevotella_pallens","Prevotella_histicola",1
"22400","Prevotella_salivae","Prevotella_histicola",1
"22406","Prevotella_veroralis","Prevotella_histicola",1
"22431","Lachnoanaerobaculum_saburreum","Prevotella_histicola",1
"22458","Selenomonas_ruminantium","Prevotella_histicola",1
"22462","Actinomyces_graevenitzii","Prevotella_histicola",1
"22463","Alloprevotella_rava","Prevotella_histicola",1
"22465","Atopobium_parvulum","Prevotella_histicola",1
"22475","Selenomonas_flueggei","Prevotella_histicola",1
"22488","Selenomonas_sputigena","Prevotella_histicola",1
"22520","Campylobacter_concisus","Prevotella_histicola",1
"22521","Prevotella_melaninogenica","Prevotella_histicola",1
"22522","Megasphaera_micronuciformis","Prevotella_histicola",1
"22523","Cryptobacterium_curtum","Prevotella_histicola",1
"22528","Veillonella_atypica","Prevotella_histicola",1
"22547","Alloscardovia_omnicolens","Prevotella_histicola",1
"22551","Streptococcus_thermophilus","Prevotella_histicola",1
"22556","Leptotrichia_wadei","Prevotella_histicola",1
"22558","Dialister_micraerophilus","Prevotella_histicola",1
"22747","Corynebacterium_matruchotii","Aggregatibacter_segnis",1
"22751","Fusobacterium_nucleatum","Aggregatibacter_segnis",1
"23694","Rothia_dentocariosa","Actinomyces_naeslundii",1
"23822","Corynebacterium_matruchotii","Actinomyces_naeslundii",1
