"","Node1","Node2","Weight"
"15371","Veillonella_rodentium","Campylobacter_concisus",1
"15379","Prevotella_maculosa","Campylobacter_concisus",1
"15390","Selenomonas_infelix","Campylobacter_concisus",1
"15396","Oribacterium_sinus","Campylobacter_concisus",1
"15405","Veillonella_dispar","Prevotella_melaninogenica",1
"15409","Actinomyces_odontolyticus","Prevotella_melaninogenica",1
"15423","Prevotella_scopos","Prevotella_melaninogenica",1
"15437","Prevotella_salivae","Prevotella_melaninogenica",1
"15446","Prevotella_veroralis","Prevotella_melaninogenica",1
"15485","Fusobacterium_periodonticum","Prevotella_melaninogenica",1
"15513","Alloprevotella_rava","Prevotella_melaninogenica",1
"15516","Atopobium_parvulum","Prevotella_melaninogenica",1
"15558","Veillonella_parvula","Prevotella_melaninogenica",1
"15585","Actinomyces_odontolyticus","Megasphaera_micronuciformis",1
"15622","Prevotella_veroralis","Megasphaera_micronuciformis",1
"15692","Atopobium_parvulum","Megasphaera_micronuciformis",1
"15721","Selenomonas_sputigena","Megasphaera_micronuciformis",1
"15734","Veillonella_parvula","Megasphaera_micronuciformis",1
"15747","Oribacterium_sinus","Megasphaera_micronuciformis",1
"15753","Prevotella_melaninogenica","Megasphaera_micronuciformis",1
"15790","Prevotella_salivae","Cryptobacterium_curtum",1
"15819","Bifidobacterium_dentium","Cryptobacterium_curtum",1
