"","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score"
"Gemmatimonas_aurantiaca",1,0,0.039999600004,0,0,0,1,0,0.039999600004,1,0,0.039999600004,0,0,0,1,0,0.039999600004,1,0,0.039999600004,1,0,0.039999600004,0,0,0,0,0,0
"Haemophilus_parainfluenzae",8,1,0.244999693750383,11,0,0.439999600000364,9,0,0.359999600000444,10,1,0.323999676000324,8,1,0.244999693750383,10,0,0.3999996000004,8,1,0.244999693750383,8,1,0.244999693750383,7,1,0.205713991837154,7,0,0.279999600000571
"Porphyromonas_gingivalis",3,4,-0.0099999750000625,5,4,0.007999984000032,5,4,0.007999984000032,4,3,0.0099999750000625,6,3,0.0599999000001667,5,4,0.007999984000032,4,3,0.0099999750000625,5,3,0.031999936000128,5,2,0.071999856000288,5,4,0.007999984000032
"Streptococcus_sobrinus",2,1,0.0199999000005,3,1,0.0533331555561481,1,1,0,3,1,0.0533331555561481,2,0,0.079999600002,3,0,0.119999600001333,0,1,-0.039999600004,1,1,0,2,0,0.079999600002,1,0,0.039999600004
"Pseudomonas_stutzeri",0,1,-0.039999600004,0,1,-0.039999600004,0,1,-0.039999600004,0,1,-0.039999600004,0,1,-0.039999600004,0,1,-0.039999600004,0,1,-0.039999600004,0,0,0,0,1,-0.039999600004,0,0,0
"Acinetobacter_junii",0,0,0,1,0,0.039999600004,1,0,0.039999600004,0,0,0,1,0,0.039999600004,1,0,0.039999600004,1,0,0.039999600004,1,0,0.039999600004,1,0,0.039999600004,1,0,0.039999600004
"Bacteroides_acidifaciens",0,0,0,1,0,0.039999600004,1,0,0.039999600004,0,0,0,1,0,0.039999600004,1,0,0.039999600004,1,0,0.039999600004,1,0,0.039999600004,1,0,0.039999600004,1,0,0.039999600004
"Prevotella_amnii",2,0,0.079999600002,2,0,0.079999600002,2,0,0.079999600002,2,0,0.079999600002,2,0,0.079999600002,3,0,0.119999600001333,1,0,0.039999600004,1,0,0.039999600004,2,0,0.079999600002,2,0,0.079999600002
"Streptococcus_agalactiae",1,2,-0.0199999000005,1,3,-0.0533331555561481,1,1,0,0,1,-0.039999600004,1,3,-0.0533331555561481,0,3,-0.119999600001333,1,2,-0.0199999000005,0,3,-0.119999600001333,0,2,-0.079999600002,1,3,-0.0533331555561481
"Treponema_bryantii",0,1,-0.039999600004,1,1,0,0,2,-0.079999600002,1,0,0.039999600004,1,2,-0.0199999000005,1,1,0,0,1,-0.039999600004,0,0,0,0,1,-0.039999600004,0,1,-0.039999600004
"Bacteroides_intestinalis",4,3,0.0099999750000625,2,3,-0.013333288889037,2,2,0,3,3,0,3,1,0.0533331555561481,4,3,0.0099999750000625,4,1,0.0899997750005625,5,2,0.071999856000288,4,2,0.03999990000025,3,2,0.013333288889037
"Filifactor_alocis",1,6,-0.166666388889352,4,5,-0.007999984000032,4,5,-0.007999984000032,3,4,-0.0099999750000625,5,3,0.031999936000128,3,4,-0.0099999750000625,3,3,0,5,4,0.007999984000032,4,3,0.0099999750000625,3,4,-0.0099999750000625
"Prevotella_copri",3,2,0.013333288889037,2,2,0,3,1,0.0533331555561481,1,2,-0.0199999000005,3,1,0.0533331555561481,2,2,0,3,0,0.119999600001333,2,1,0.0199999000005,4,2,0.03999990000025,3,1,0.0533331555561481
"Odoribacter_denticanis",1,0,0.039999600004,2,0,0.079999600002,2,0,0.079999600002,1,0,0.039999600004,2,0,0.079999600002,1,0,0.039999600004,0,0,0,2,0,0.079999600002,2,0,0.079999600002,1,0,0.039999600004
"Bacteroides_heparinolyticus",2,2,0,4,2,0.03999990000025,4,1,0.0899997750005625,1,3,-0.0533331555561481,4,1,0.0899997750005625,2,3,-0.013333288889037,2,2,0,3,1,0.0533331555561481,3,3,0,3,2,0.013333288889037
"Rothia_mucilaginosa",5,3,0.031999936000128,5,2,0.071999856000288,4,2,0.03999990000025,4,3,0.0099999750000625,3,2,0.013333288889037,4,3,0.0099999750000625,3,3,0,5,4,0.007999984000032,4,3,0.0099999750000625,5,2,0.071999856000288
"Lachnoanaerobaculum_saburreum",4,2,0.03999990000025,4,1,0.0899997750005625,6,2,0.106666488889185,3,1,0.0533331555561481,4,1,0.0899997750005625,3,1,0.0533331555561481,4,2,0.03999990000025,5,1,0.127999744000512,4,0,0.159999600001,5,1,0.127999744000512
"Acinetobacter_lwoffii",0,0,0,0,1,-0.039999600004,0,1,-0.039999600004,0,0,0,0,1,-0.039999600004,0,0,0,0,0,0,0,1,-0.039999600004,0,1,-0.039999600004,0,1,-0.039999600004
"Brachymonas_denitrificans",0,0,0,2,2,0,2,1,0.0199999000005,0,2,-0.079999600002,2,2,0,1,1,0,1,1,0,2,0,0.079999600002,2,1,0.0199999000005,2,0,0.079999600002
"Prevotella_paludivivens",1,1,0,3,1,0.0533331555561481,1,1,0,2,0,0.079999600002,2,1,0.0199999000005,2,1,0.0199999000005,2,1,0.0199999000005,3,0,0.119999600001333,3,0,0.119999600001333,1,1,0
"Streptococcus_gordonii",1,2,-0.0199999000005,1,1,0,1,1,0,1,1,0,0,2,-0.079999600002,0,0,0,0,2,-0.079999600002,0,1,-0.039999600004,1,1,0,1,1,0
