,Axis1,Axis2,Axis3,CS,HS,SS,sHACK,cluster,cx,cy,cluster_factor,High_sHACK,Module2
Actinomyces_sp_HMSC035G02,-6.39480607834172,-3.96446784448952,-10.2823549546387,0.505479452054794,0.432126495933483,0.863395539494457,0.738955823293173,4,-3.60854994020313,-2.09522479612292,4,FALSE,FALSE
Filifactor_alocis,23.7488632333953,3.65219227393695,11.7322151098795,0.782191780821918,0.366305422695808,0.623174629771452,0.736947791164659,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Veillonella_denticariosi,-2.6750154081531,1.89004978490437,-9.06437657253556,0.423287671232877,0.613781457488244,0.503135623039975,0.734939759036145,4,-3.60854994020313,-2.09522479612292,4,FALSE,FALSE
Selenomonas_noxia,18.5277847639685,9.07204517180333,-2.33469108957479,0.80958904109589,0.389660249036346,0.567862230531559,0.732931726907631,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Eggerthia_catenaformis,12.4243388104263,4.34563668468753,5.16440217490653,0.423287671232877,0.588445742770075,0.498016115010628,0.730923694779116,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Prevotella_saccharolytica,21.0902652136901,-3.42391401553766,8.08571698163322,0.693150684931507,0.317905794030393,0.842787742619985,0.728915662650602,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Pasteurella_pneumotropica,6.87628192186518,-5.13681961705273,1.65767797217717,0.423287671232877,0.621082420132792,0.481036706807017,0.726907630522088,2,6.72843344989611,-10.8417605202732,2,FALSE,TRUE
Faecalibacterium_prausnitzii,-21.9372192841109,4.05047767071044,11.8731199176858,0.552054794520548,0.587921838106194,0.386324290256598,0.724899598393574,5,-16.9737184673674,2.78799675236001,5,FALSE,FALSE
Haemophilus_influenzae,13.3170702708416,-15.3544610431475,8.19121736394342,0.741095890410959,0.411153256241045,0.491960823903474,0.72289156626506,2,6.72843344989611,-10.8417605202732,2,FALSE,TRUE
Streptococcus_pyogenes,-4.99317886640426,-4.68958213002811,-5.3856495641281,0.505479452054794,0.432126495933483,0.442614134976882,0.720883534136546,4,-3.60854994020313,-2.09522479612292,4,FALSE,FALSE
Bergeyella_zoohelcum,0.65461557091703,-6.84463954970492,-0.196285986698092,0.423287671232877,0.606995217049101,0.456336870463577,0.718875502008032,4,-3.60854994020313,-2.09522479612292,4,FALSE,FALSE
Granulicatella_elegans,12.9005466913644,-15.6561686521885,6.39097425450994,0.757534246575343,0.385539545115134,0.531820247473716,0.716867469879518,2,6.72843344989611,-10.8417605202732,2,FALSE,TRUE
Prevotella_ruminicola,0.444303249764412,-1.56999590332606,2.1333201040432,0.423287671232877,0.563851587253537,0.455206968151003,0.714859437751004,4,-3.60854994020313,-2.09522479612292,4,FALSE,FALSE
Bacteroides_vulgatus,-20.1889015263982,3.41264158683716,9.68957970621208,0.423287671232877,0.454903029202236,0.554185758464155,0.71285140562249,5,-16.9737184673674,2.78799675236001,5,FALSE,FALSE
Eubacterium_nodatum,19.1546777020199,7.34520739726,9.41060981713752,0.693150684931507,0.633081370708967,0.333944120269551,0.710843373493976,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Abiotrophia_defectiva,10.9445694440444,-13.1795528729787,6.00083509044058,0.782191780821918,0.293883069968315,0.712354243486311,0.708835341365462,2,6.72843344989611,-10.8417605202732,2,FALSE,TRUE
Streptococcus_thermophilus,-3.65749122005752,10.7882769832748,-17.2862933288146,0.96986301369863,0.793174607979657,0.252749208353057,0.706827309236948,1,0.234670503340864,11.7573950781623,1,FALSE,FALSE
Acinetobacter_johnsonii,-8.16703725618015,-0.177526101235629,-2.1505878066609,0.423287671232877,0.441572016710056,0.510894948966374,0.704819277108434,4,-3.60854994020313,-2.09522479612292,4,FALSE,FALSE
Prevotella_baroniae,20.7864207895942,6.79221722454631,7.14628983588009,0.591780821917808,0.347384815644487,0.615478526941853,0.70281124497992,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Actinomyces_sp_oral_taxon_181,-5.99112985933661,-3.30104470114421,-10.4012044016604,0.423287671232877,0.436647898125164,0.879525482605929,0.700803212851406,4,-3.60854994020313,-2.09522479612292,4,FALSE,FALSE
Eubacterium_biforme,-14.6971328132907,0.958786126567995,3.02338290589506,0.423287671232877,0.451000686161732,0.43638847420658,0.698795180722892,5,-16.9737184673674,2.78799675236001,5,FALSE,FALSE
Centipeda_periodontii,10.9125109053506,7.00756632761987,-7.3784401004975,0.731506849315068,0.275112510342879,0.899640974157983,0.696787148594378,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Actinomyces_turicensis,-4.24521442514377,-2.46663426565398,-6.75499599275736,0.423287671232877,0.432126495933483,0.617212446064296,0.694779116465863,4,-3.60854994020313,-2.09522479612292,4,FALSE,FALSE
Actinomyces_sp_ICM47,-6.31756446475801,-4.2026771670335,-10.5846008863312,0.621917808219178,0.523223446550019,0.37613545727821,0.692771084337349,4,-3.60854994020313,-2.09522479612292,4,FALSE,FALSE
Fusobacterium_nucleatum,28.2340263667673,5.41588740687924,11.2461101125234,0.972602739726027,0.396339024439466,0.476615478648959,0.690763052208835,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Streptococcus_parasanguinis,-4.83955599432482,9.9025245550256,-20.4342122141492,0.923287671232877,0.38798238178846,0.491703440381675,0.688755020080321,1,0.234670503340864,11.7573950781623,1,FALSE,FALSE
Gemella_morbillorum,16.3319841538551,-10.7584459499417,6.94689598139164,0.841095890410959,0.452213073399124,0.403868682530692,0.686746987951807,2,6.72843344989611,-10.8417605202732,2,FALSE,TRUE
Dorea_longicatena,-19.0815144048178,2.69647180652276,7.96935927349112,0.552054794520548,0.428259470040968,0.415267935763349,0.684738955823293,5,-16.9737184673674,2.78799675236001,5,FALSE,FALSE
Gemella_haemolysans,8.80863811692495,-15.0600698014578,4.96021304174884,0.908219178082192,0.542300357207725,0.356027949288624,0.682730923694779,2,6.72843344989611,-10.8417605202732,2,FALSE,TRUE
Methylobacterium_jeotgali,-7.1374014921633,-4.07157862945486,-4.87244334302491,0.423287671232877,0.670808459970535,0.411002222274537,0.680722891566265,4,-3.60854994020313,-2.09522479612292,4,FALSE,FALSE
Atopobium_rimae,20.8490924347731,14.5537308359328,-0.821273598011009,0.79041095890411,0.28931151742649,0.645968597591937,0.678714859437751,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Lautropia_mirabilis,12.7665185920545,-15.232296546575,7.89488555525069,0.908219178082192,0.427791366470909,0.394456258866431,0.676706827309237,2,6.72843344989611,-10.8417605202732,2,FALSE,TRUE
