"cluster"	"degree"	"betweenness"	"sHACK"	"CS"	"HS"	"SS"	"within_group_propensity"	"across_group_propensity"	"species"
"Mycoplasma_faucium"	3	13	2.83356782106782	0.668674698795181	0.505479452054794	0.488877015600089	0.355193433123164	0.09375	0.00537634408602151	"Mycoplasma_faucium"
"Prevotella_dentalis"	3	20	19.1961532102702	0.347389558232932	0	0.571905208774798	0.36132783019422	0.135416666666667	0	"Prevotella_dentalis"
"Peptococcus_niger"	2	18	20.7048552754435	0.905622489959839	0.645205479452055	0.658801638715667	0.774189525681193	0.05	0.0643564356435644	"Peptococcus_niger"
"Treponema_refringens"	2	16	204.007731876353	0.580321285140562	0	0.756075053984783	0.800501113462093	0.1125	0.0148514851485149	"Treponema_refringens"
"Treponema_pedis"	3	21	15.6015076568785	0.771084337349398	0.505479452054794	0.760590906338924	0.49720341425475	0.145833333333333	0.00537634408602151	"Treponema_pedis"
"Campylobacter_curvus"	3	16	34.6874872324543	0.491967871485944	0	0.760863252002987	0.560516490446324	0.104166666666667	0.010752688172043	"Campylobacter_curvus"
"Streptococcus_pneumoniae"	2	18	3.45	0.560240963855422	0.757534246575343	0.104546830538233	0.468409619186266	0.1625	0.0198019801980198	"Streptococcus_pneumoniae"
"Schwartzia_succinivorans"	3	32	209.167648048148	0.614457831325301	0.671232876712329	0.22211156182519	0.508542883834074	0.239583333333333	0.00537634408602151	"Schwartzia_succinivorans"
"Prevotella_marshii"	3	26	24.9527042894177	0.608433734939759	0.423287671232877	0.255919456721358	0.609407056484288	0.197916666666667	0.00537634408602151	"Prevotella_marshii"
"Treponema_parvum"	3	38	84.9052181361611	0.13855421686747	0	0.189473572682691	0.634645695579127	0.239583333333333	0.0161290322580645	"Treponema_parvum"
"Lautropia_mirabilis"	2	46	285.203348640316	0.676706827309237	0.908219178082192	0.427791366470909	0.394456258866431	0.3125	0.0841584158415842	"Lautropia_mirabilis"
"Neisseria_sicca"	2	6	0	0.600401606425703	0.505479452054794	0.811615103630603	0.189783952474685	0.075	0	"Neisseria_sicca"
"Planobacterium_taklimakanense"	2	10	0	0.85140562248996	0.621917808219178	0.552100260337834	0.76590995426541	0.125	0	"Planobacterium_taklimakanense"
"Actinomyces_gerencseriae"	3	14	76.5414281447368	0.662650602409639	0.552054794520548	0.524816451736595	0.313104068304692	0.0729166666666667	0.0161290322580645	"Actinomyces_gerencseriae"
"Neisseria_shayeganii"	2	6	0.2	0.77710843373494	0.423287671232877	0.751955056406531	0.666368164675514	0.025	0.00495049504950495	"Neisseria_shayeganii"
"Selenomonas_noxia"	3	32	242.843195559829	0.732931726907631	0.80958904109589	0.389660249036346	0.567862230531559	0.208333333333333	0.0268817204301075	"Selenomonas_noxia"
